ResponseId,BA.Pre.Question,Ca.Pre.Question,Fa.Pre.Question,Ea.Pre.Question,AA.Question,Da.Question,TiredBlocked,MentallyExhaustingBlocked,DifficultBlocked,BoringBlocked,RememberAnswersBlocked,MemoryAnswersBlocked,HelpingToLearnBlocked,LearnAnswersBlocked,ClassStructureBlocked,FamiliarBlocked,NewBlocked,StudyHabitsBlocked,TiredInterleaved,MentallyExhaustingInterleaved,DifficultInterleaved,BoringInterleaved,RememberAnswersInterleaved,MemoryAnswersInterleaved,HelpingToLearnInterleaved,LearnAnswersInterleaved,ClassStructureInterleaved,FamiliarInterleaved,NewInterleaved,StudyHabitsInterleaved,CompareMentalEffort,CompareRememberAnswers,CompareEffectiveYou,CompareEffectiveAveragePerson,CompareHarderForOthers,CompareYouStudyFuture,CompareEnjoyable,CompareHarder,CompareClassStructure,CompareFamiliar,CompareNewer,CompareMatchHabits,ChooseActivity,Gender,Age,HispanicLatino,Race,NativeLang,Edu,id
R_1Q9NMNWSUQSFWYi,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,2,2,2,3,4,4,4,4,1,1,1,1,2,2,3,2,5,5,5,5,2,2,3,2,5,5,5,4,3,5,5,2,5,5,3,4,Interleaved,Male,18-24,DTS,White,Russian,High school diploma,30527
R_3m8CJ065ZCtzBEL,Finch,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,3,3,2,5,4,4,5,4,4,2,2,3,5,5,5,5,2,2,2,2,3,3,4,3,5,1,1,1,6,1,1,6,5,4,2,4,Blocked,Female,18-24,No,Asian,English,Some college,30976
R_2wESlGakiBjGlSb,Jay / Magpie,Oriole,Wood Warbler,Sparrow,Finch,Sparrow,3,3,2,6,6,6,5,5,3,5,5,4,4,4,2,6,6,6,5,6,3,2,4,2,6,1,1,1,6,1,1,5,6,1,6,1,Blocked,Female,18-24,No,White,English,Some college,30930
R_1lmKqHzVZYNrA5L,Jay / Magpie,Finch,Sparrow,Tyrant flycatcher,Finch,Sparrow,4,2,1,5,4,4,3,4,1,2,2,3,3,2,4,5,4,3,3,4,2,2,3,3,6,4,2,1,5,3,4,5,2,2,5,3,Interleaved,Female,18-24,No,White,English,Some college,30933
R_2Xo0gLo3d55u099,Finch,Oriole,Wood Warbler,Sparrow,Finch,Tyrant flycatcher,1,1,3,1,4,3,5,4,2,4,2,2,4,4,3,1,2,1,2,1,2,5,6,4,6,1,1,1,6,1,1,6,1,1,6,1,Blocked,Male,18-24,No,White,English,Some college,30404
R_dhYXIMXhkwCuw49,Oriole,Oriole,Tyrant flycatcher,Tyrant flycatcher,Finch,Sparrow,1,1,1,4,4,3,3,3,1,1,1,3,1,1,1,5,4,4,3,3,2,3,5,3,5,4,4,3,4,3,3,3,3,2,4,3,Blocked,Male,18-24,No,White,English,Some college,30963
R_2y1p14NENg9vxfZ,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,1,1,2,3,3,4,5,3,3,2,2,3,1,1,1,2,3,4,3,4,3,3,4,4,5,1,1,2,5,2,5,6,2,5,2,2,Blocked,Male,18-24,No,White,English,Some college,30994
R_1MLhAQ6ebgglM3k,Oriole,Oriole,Sparrow,Sparrow,Finch,Tyrant flycatcher,4,4,4,4,3,3,2,2,4,3,3,4,5,5,5,5,1,1,1,1,3,2,3,3,6,1,1,1,6,1,1,6,3,2,5,2,Blocked,Female,18-24,No,White,English,Some college,31098
R_1QDGoSH7yuQXckf,Finch,Oriole,Sparrow,Sparrow,Finch,Tyrant flycatcher,2,1,1,3,4,3,3,2,5,4,4,5,6,6,5,6,4,4,4,5,1,1,2,2,6,6,6,6,6,6,1,6,1,1,6,1,Interleaved,Male,18-24,No,White,English,Some college,30417
R_11d6rgamDobRNc1,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,3,3,2,5,3,1,2,1,2,1,2,2,6,6,6,6,1,1,1,1,1,2,4,1,6,1,2,1,6,1,1,6,3,1,6,3,Blocked,Female,18-24,No,White,English,Some college,27621
